report;sys_time;sim_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;rssi_strongest;tech;mcc;mnc;lac_tac;node_id;cid;psc_pci;rssi;rsrq;rssnr;slev;gps;accuracy;lat;long;band;arfcn;bts_psc_pci;bts_band;bts_arfcn;site_name;site_lat;site_long;cell_name;azimuth;height;tilt_mech;tilt_el;
0;20210116203424;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3425779;1667750;0;0;9;-121;LTE;404;40;52303;904222;211;265;-118;-17;-28;0;1;29;13.04154653;80.23902863;2300;39000;null;null;null;null;;;null;null;null;null;null;
1;20210116203425;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3425779;1667750;0;0;9;-121;LTE;404;40;52303;904222;211;265;-118;-17;-6;0;1;30;13.04154653;80.23902864;2300;39000;null;null;null;null;;;null;null;null;null;null;
2;20210116203426;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3425779;1667750;0;0;9;-121;LTE;404;40;52303;904222;211;265;-118;-17;-6;0;1;30;13.04154653;80.23902864;2300;39000;null;null;null;null;;;null;null;null;null;null;
3;20210116203427;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;INOUT;3425831;1667802;0;0;7;-126;LTE;404;40;52303;904222;211;265;-124;-18;-6;0;1;31;13.04154653;80.23902864;2300;39000;null;null;null;null;;;null;null;null;null;null;
4;20210116203428;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3425831;1667802;0;0;7;-126;LTE;404;40;52303;904222;211;265;-124;-18;-6;0;1;29;13.04154653;80.23902864;2300;39000;null;null;null;null;;;null;null;null;null;null;
5;20210116203429;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3425831;1667802;0;0;7;-126;LTE;404;40;52303;904222;211;265;-124;-18;-6;0;1;29;13.04154653;80.23902864;2300;39000;null;null;null;null;;;null;null;null;null;null;
6;20210116203430;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3425831;1667802;0;0;6;-127;LTE;404;40;52303;904222;211;265;-124;-16;-6;0;1;31;13.04154653;80.23902864;2300;39000;null;null;null;null;;;null;null;null;null;null;
7;20210116203431;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3425831;1667802;0;0;6;-127;LTE;404;40;52303;904222;211;265;-124;-16;-6;0;1;44;13.04154653;80.23902864;2300;39000;null;null;null;null;;;null;null;null;null;null;
8;20210116203432;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3425831;1667802;0;0;6;-127;LTE;404;40;52303;904222;211;265;-124;-16;-58;0;1;59;13.04154653;80.23902864;2300;39000;null;null;null;null;;;null;null;null;null;null;
9;20210116203433;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3425831;1667802;0;0;6;-126;LTE;404;40;52303;904222;211;265;-125;-18;-58;0;1;76;13.04154653;80.23902864;2300;39000;null;null;null;null;;;null;null;null;null;null;
10;20210116203434;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3425831;1667802;0;0;6;-126;LTE;404;40;52303;904222;211;265;-125;-18;-58;0;1;101;13.04158094;80.23905268;2300;39000;null;null;null;null;;;null;null;null;null;null;
11;20210116203435;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3425831;1667802;0;0;6;-127;LTE;404;40;52303;904222;211;265;-126;-20;-58;0;1;101;13.04158094;80.23905268;2300;39000;null;null;null;null;;;null;null;null;null;null;
12;20210116203436;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;INOUT;3426121;1667958;0;0;6;-127;LTE;404;40;52303;904222;211;265;-126;-20;-58;0;1;142;13.04154654;80.23902863;2300;39000;null;null;null;null;;;null;null;null;null;null;
13;20210116203437;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;INOUT;3426193;1668030;0;0;6;-127;LTE;404;40;52303;904222;211;265;-126;-20;-58;0;1;167;13.04154654;80.23902863;2300;39000;null;null;null;null;;;null;null;null;null;null;
14;20210116203438;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;INOUT;3426773;1668261;0;0;10;-123;LTE;404;40;52303;904222;211;265;-122;-18;-58;0;1;197;13.04154654;80.23902863;2300;39000;null;null;null;null;;;null;null;null;null;null;
15;20210116203439;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;INOUT;3427207;1668746;0;0;10;-123;LTE;404;40;52303;904222;211;265;-122;-18;-58;0;1;228;13.04154654;80.23902863;2300;39000;null;null;null;null;;;null;null;null;null;null;
16;20210116203440;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;INOUT;3427339;1668818;0;0;10;-123;LTE;404;40;52303;904222;211;265;-122;-18;-58;0;1;137;13.04154659;80.23902868;2300;39000;null;null;null;null;;;null;null;null;null;null;
17;20210116203441;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;INOUT;3427471;1668902;0;0;8;-112;LTE;404;40;52303;904222;211;265;-111;-17;40;1;1;68;13.04154659;80.23902866;2300;39000;null;null;null;null;;;null;null;null;null;null;
18;20210116203442;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3427471;1668902;0;0;8;-112;LTE;404;40;52303;904222;211;265;-111;-17;40;1;1;36;13.04154782;80.23903102;2300;39000;null;null;null;null;;;null;null;null;null;null;
19;20210116203443;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;INOUT;3427603;1668986;0;0;8;-112;LTE;404;40;52303;904222;211;265;-111;-17;40;1;1;27;13.04155178;80.23903487;2300;39000;null;null;null;null;;;null;null;null;null;null;
20;20210116203444;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3427603;1668986;0;0;4;-111;LTE;404;40;52303;904222;211;265;-110;-17;40;1;1;19;13.04155395;80.23903869;2300;39000;null;null;null;null;;;null;null;null;null;null;
21;20210116203445;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3427603;1668986;0;0;4;-111;LTE;404;40;52303;904222;211;265;-110;-17;40;1;1;15;13.04155495;80.23904055;2300;39000;null;null;null;null;;;null;null;null;null;null;
22;20210116203446;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3427603;1668986;0;0;5;-106;LTE;404;40;52303;904222;211;265;-109;-19;40;1;1;9;13.04155326;80.23904066;2300;39000;null;null;null;null;;;null;null;null;null;null;
23;20210116203447;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3427603;1668986;0;0;5;-106;LTE;404;40;52303;904222;211;265;-109;-19;40;1;1;7;13.04155552;80.2390422;2300;39000;null;null;null;null;;;null;null;null;null;null;
24;20210116203448;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3427603;1668986;0;0;5;-106;LTE;404;40;52102;941480;211;1;-105;-18;38;2;1;6;13.04155524;80.23904332;2300;39000;null;null;null;null;;;null;null;null;null;null;
25;20210116203449;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3427603;1668986;0;0;5;-106;LTE;404;40;52102;941480;211;1;-105;-18;38;2;1;5;13.04155534;80.23904343;2300;39000;null;null;null;null;;;null;null;null;null;null;
26;20210116203450;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;INOUT;3428165;1669596;0;0;5;-105;LTE;404;40;52102;941480;211;1;-107;-17;-22;1;1;5;13.04155472;80.23904497;2300;39000;null;null;null;null;;;null;null;null;null;null;
27;20210116203451;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3428165;1669596;0;0;5;-105;LTE;404;40;52102;941480;211;1;-107;-17;-22;1;1;5;13.04165482;80.239048;2300;39000;null;null;null;null;;;null;null;null;null;null;
28;20210116203452;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3428165;1669596;0;0;5;-104;LTE;404;40;52102;941480;211;1;-104;-13;28;2;1;4;13.04168055;80.2390572;2300;39000;null;null;null;null;;;null;null;null;null;null;
29;20210116203453;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;INOUT;3428711;1670206;0;0;5;-104;LTE;404;40;52102;941480;211;1;-104;-13;28;2;1;5;13.04169392;80.2390517;2300;39000;null;null;null;null;;;null;null;null;null;null;
30;20210116203454;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3428711;1670206;0;0;5;-104;LTE;404;40;52102;941480;211;1;-104;-13;28;2;1;5;13.04170515;80.23907304;2300;39000;null;null;null;null;;;null;null;null;null;null;
31;20210116203455;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3428711;1670206;0;0;5;-101;LTE;404;40;52102;941480;211;1;-102;-19;28;2;1;5;13.0417176;80.23907243;2300;39000;null;null;null;null;;;null;null;null;null;null;
32;20210116203456;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;INOUT;3429507;1670794;0;0;5;-101;LTE;404;40;52102;941480;211;1;-102;-19;28;2;1;4;13.04172152;80.23907521;2300;39000;null;null;null;null;;;null;null;null;null;null;
33;20210116203457;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;INOUT;3435619;1673153;0;0;5;-102;LTE;404;40;52102;941480;211;1;-99;-15;-14;2;1;4;13.04173356;80.23907546;2300;39000;null;null;null;null;;;null;null;null;null;null;
34;20210116203458;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;INOUT;3443145;1674568;0;0;5;-102;LTE;404;40;52102;941480;211;1;-99;-15;-14;2;1;4;13.0417448;80.2390759;2300;39000;null;null;null;null;;;null;null;null;null;null;
35;20210116203459;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3443145;1674568;0;0;5;-102;LTE;404;40;52102;941480;211;1;-99;-15;48;2;1;4;13.04175562;80.23907711;2300;39000;null;null;null;null;;;null;null;null;null;null;
36;20210116203500;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3443145;1674568;0;0;4;-88;LTE;404;40;52303;904222;50;264;-89;-12;48;3;1;4;13.04176334;80.23908019;2100;390;null;null;null;null;;;null;null;null;null;null;
37;20210116203501;READY;IND airtel;40440;0;LTE;IDLE;CONNECTED;NONE;3443145;1674568;0;0;4;-88;LTE;404;40;52303;904222;50;264;-89;-12;48;3;1;4;13.04177082;80.23908076;2100;390;null;null;null;null;;;null;null;null;null;null;
